respondent_id,q13_income,income_min_chf,income_max_chf,income_mid_chf
118867014490,Keine Angabe,,,
118867103472,7.001 - 10.000 CHF,7001,10000,8500
118867106782,Keine Angabe,,,
118867102635,5.001 - 7.000 CHF,5001,7000,6000
118867095560,5.001 - 7.000 CHF,5001,7000,6000
118867093389,7.001 - 10.000 CHF,7001,10000,8500
118867085559,5.001 - 7.000 CHF,5001,7000,6000
118867081746,Unter 3.000 CHF,0,3000,
118867081624,Keine Angabe,,,
118867080434,7.001 - 10.000 CHF,7001,10000,8500
118867074861,Über 10.000 CHF,10000,,
118867075571,5.001 - 7.000 CHF,5001,7000,6000
118867072484,Über 10.000 CHF,10000,,
118867062931,7.001 - 10.000 CHF,7001,10000,8500
118867061539,5.001 - 7.000 CHF,5001,7000,6000
118867060721,5.001 - 7.000 CHF,5001,7000,6000
118867051868,7.001 - 10.000 CHF,7001,10000,8500
118867051937,3.000 - 5.000 CHF,3000,5000,4000
118867049431,Keine Angabe,,,
118867048965,5.001 - 7.000 CHF,5001,7000,6000
118867015928,7.001 - 10.000 CHF,7001,10000,8500
118867045143,Unter 3.000 CHF,0,3000,
118867046914,7.001 - 10.000 CHF,7001,10000,8500
118867037998,7.001 - 10.000 CHF,7001,10000,8500
118867044486,3.000 - 5.000 CHF,3000,5000,4000
118866955443,5.001 - 7.000 CHF,5001,7000,6000
118867044801,3.000 - 5.000 CHF,3000,5000,4000
118867044223,5.001 - 7.000 CHF,5001,7000,6000
118867043137,5.001 - 7.000 CHF,5001,7000,6000
118867044118,Unter 3.000 CHF,0,3000,
118867043576,7.001 - 10.000 CHF,7001,10000,8500
118867041751,Über 10.000 CHF,10000,,
118867040792,7.001 - 10.000 CHF,7001,10000,8500
118867041382,3.000 - 5.000 CHF,3000,5000,4000
118867040503,5.001 - 7.000 CHF,5001,7000,6000
118867040007,3.000 - 5.000 CHF,3000,5000,4000
118867040264,Unter 3.000 CHF,0,3000,
118867038333,Unter 3.000 CHF,0,3000,
118867036887,5.001 - 7.000 CHF,5001,7000,6000
118867037007,Über 10.000 CHF,10000,,
118867037498,5.001 - 7.000 CHF,5001,7000,6000
118867036948,5.001 - 7.000 CHF,5001,7000,6000
118867037754,5.001 - 7.000 CHF,5001,7000,6000
